,wordChosen,catch1,catch2,gender,age,wordPair
1011,7,human,robot,2,62,7|3
1012,1,human,robot,2,33,1|3
1013,5,human,robot,1,43,2|5
1015,9,human,robot,2,31,9|1
1017,1,human,robot,1,27,1|6
1019,9,human,smart robot,2,30,9|10
1020,8,Human and Robot,Robot,2,36,8|9
1021,6,human,robot,1,28,8|6
1022,6,human,robot,2,53,6|3
1027,4,human,robot,1,32,4|8
1030,7,human,robot,2,41,7|8
1031,3,Human,Robot,2,30,8|3
1032,2,human,robot,2,52,2|8
1034,7,human,robot,2,27,7|5
1035,4,human,robot,1,47,10|4
1036,6,human,robot,1,34,7|6
1037,6,human,robot,1,35,10|6
1038,2,human,robot,2,27,6|2
1040,6,Human ,robot ,1,40,3|6
1041,7,human,robot,1,26,2|7
1043,1,human,smart robot,1,34,1|4
1044,3,human,robot,1,26,3|2
1045,6,human,robot,2,35,2|6
1048,9,human,robot,2,64,4|9
1050,10,human,robot,1,50,10|2
1052,1,human,robot,1,32,1|7
1053,1,human,robot,1,40,1|8
1055,4,Human ,Robot,1,38,2|4
1057,8,human,robot,1,40,8|2
1058,1,human,robot,1,31,1|5
1059,1,human,robot,1,23,8|1
1060,7,human,robot,2,27,7|1
1061,2,human,robot,1,26,2|3
1062,6,human,robot,1,55,6|8
1064,10,human,robot,2,60,7|10
1066,9,human,robot,1,34,7|9
1067,9,human,robot,1,26,9|5
1068,2,human,a smart robot,2,33,4|2
1069,5,human,robot,1,57,5|3
1070,6,human,smart robot,1,25,6|9
1071,5,human,robot,2,25,5|10
1072,2,human,robot,1,32,5|2
1073,1,human,robot,1,25,1|2
1074,5,human,robot,1,26,6|5
1076,4,human,robot,1,19,4|5
1077,1,human,robot,1,28,8|1
1078,3,human,robot,1,23,3|8
1080,10,human,robot,1,22,10|9
1081,1,human,robot,1,29,1|10
1082,2,human,robot,1,29,2|8
1083,3,human,robot,2,21,3|6
1084,6,human,robot,1,21,6|2
1085,1,human,robot,1,28,9|1
1086,9,human,robot,1,21,6|9
1087,9,human,robot,2,23,9|6
1089,7,human,robot,1,28,4|7
1090,1,human,robot,2,25,1|2
1091,9,human,robot,2,29,9|2
1092,10,HUMAN,ROBOT,1,36,10|3
1093,3,THE HUMAN,ROBOT,1,33,3|10
1094,4,human,robot,1,25,3|4
1095,1,the human,robot,1,38,1|9
1096,8,human,robot,2,29,8|10
1097,1,Human,Robot,2,37,1|6
1098,5,human,robot,2,38,5|8
1099,1,human,robot,2,25,1|7
1100,4,human,robot,2,25,2|4
1101,10,human,robot,1,23,10|8
1102,10,human,robot,1,33,9|10
1103,7,human,robot,1,21,7|2
1104,5,human,robot,2,31,10|5
1105,4,human,robot,1,38,4|9
1107,7,human,robot,1,26,7|9
1108,5,human,robot,1,23,5|2
1109,7,human,robot,2,31,6|7
1110,1,human,robot,2,20,5|1
1111,10,human,robot,1,42,10|4
1112,6,human,robot,1,39,10|6
1113,4,human and robot,robot,2,36,8|4
1114,4,human,robot,2,36,1|4
1115,4,human,robot,1,31,4|3
1116,2,human,robot,1,28,2|6
1117,7,"human (the wording for this is weird. Basically, I had to decide who was a human and who was a robot without looking at them. Whoever I think is human lives. Whoever I think is robot dies. They had to give one word from the English dictionary, and then a word from the English dictionary that comes to mind when thinking about hammer.)",robot,1,26,5|7
1118,9,human,smart robot,1,28,9|7
1119,9,human,smart robot,2,43,2|9
1120,8,human,robot,1,31,8|2
1121,6,Human,robot,1,26,6|8
1122,1,Human,Robot,1,29,1|5
1124,3,human,robot,1,39,5|3
1126,4,human,robot,2,37,4|2
1127,5,human,robot,1,31,8|5
1129,7,human,robot,2,39,7|3
1130,9,human,robot,2,31,9|4
1131,8,human,robot,2,23,8|9
1132,9,human,robot,1,36,9|5
1133,5,human and robot,robot,2,29,5|10
1134,9,human,robot,1,25,3|9
1136,1,human,computer,1,37,1|8
1138,1,human,robot,1,29,6|1
1139,5,human,robot,1,32,5|4
1140,7,human,robot,2,40,2|7
1141,6,human,robot,1,31,5|6
1142,7,human,robot,1,28,7|10
1143,3,human and robot,robot,2,46,2|3
1144,2,human,robot,2,31,2|5
1145,2,human and the robot.,robot.,2,21,3|2
1146,10,human,robot,2,34,10|2
1148,3,human,robot,2,64,6|3
1149,1,human,robot,1,55,10|1
1150,6,human,robot,2,37,8|6
1151,7,Human,Smart Robot,1,27,7|8
1152,6,Human,Robot,1,30,6|5
1155,8,human,robot,1,25,9|8
1156,6,human,robot,2,31,3|6
1157,8,human,robot,1,37,8|3
1158,5,Human,robot,1,27,5|1
1159,8,human,robot.,1,23,8|2
1160,7,human,robot,2,29,10|7
1161,9,human,robot,2,25,9|3
1162,9,human,robot,1,29,9|6
1163,7,human,robot,1,38,7|3
1164,9,Human,Robot,1,33,7|9
1165,1,human,robot,2,26,1|4
1166,7,human,smart robot,1,57,7|6
1167,7,human,robot,1,24,7|10
1168,7,human,robot,2,34,1|7
1170,9,human,robot,2,25,9|2
1171,3,human,smart robot,2,55,8|3
1172,4,human,smart robot,1,32,9|4
1173,7,human,robot,2,34,8|7
1174,4,human,Robot,1,27,4|10
1175,2,human,robot,1,27,2|6
1176,5,human,smart robot,1,24,6|5
1177,10,human,robot,2,29,3|10
1178,4,human,robot,1,27,7|4
1179,1,human,robot,1,31,1|9
1180,10,human,robot,2,26,10|2
1181,8,human,robot,1,27,9|8
1182,5,human,robot,2,27,5|10
1183,9,human,robot,1,25,2|9
1184,9,human,robot,1,28,3|9
1185,7,human,robot,1,34,3|7
1186,5,human and robots words,robot,2,38,5|4
1187,6,human,robot,1,22,6|10
1188,1,human,robot,1,30,1|2
1189,5,human,robot,1,36,10|5
1193,7,human,robot,1,24,2|7
1196,1,human,robot,1,41,7|1
1197,8,human,robot,1,24,5|8
1198,4,human,robot,2,36,3|4
1199,6,human,robot,1,36,10|6
1200,9,human,robot,2,38,9|1
1201,10,HUMAN,ROBOT,1,34,8|10
1202,8,human,robot,2,36,8|9
1203,6,human,robot,1,35,6|8
1204,4,human,robot,1,28,4|8
1205,4,human,robot,1,24,2|4
1206,7,human,robot,2,35,6|7
1207,2,human,robot,2,33,7|2
1208,1,human,robot,1,28,2|1
1209,10,human,robot,1,31,10|8
1210,1,human,robot,1,32,8|1
1211,5,Human,robot,1,36,5|6
1212,1,human and robot/computer,robot/computer,1,28,10|1
1213,7,human,robot,1,25,7|5
1214,4,human,robot,2,30,4|5
1215,7,HUMAN,ROBOT,1,59,9|7
1216,3,human and robot,robot,1,30,6|3
1217,1,human,robot,1,48,1|8
1218,9,human,robot,1,36,9|10
1219,8,Human,robot,1,29,8|6
1221,9,human,robot,2,25,6|9
1222,3,human,robot,1,40,3|2
1223,5,human,robot,2,38,5|3
1224,4,human,robot,1,29,4|6
1225,9,human,robot,1,36,5|9
1226,4,human,robot,1,38,6|4
1227,3,Human,Robot,2,21,4|3
1228,5,human,robot,2,68,5|7
1229,4,human,robot,1,33,4|9
1230,3,human ,robot,2,35,3|8
1231,4,human,robot,2,36,8|4
1232,1,human,robot,1,31,1|5
1233,3,human,robot,2,37,2|3
1234,1,human,robot,1,18,1|6
1235,7,human,robot,1,28,7|8
1236,7,human,robot,1,36,4|7
1237,10,Human,robot,2,34,2|10
1238,8,human,smart robot,2,28,2|8
1239,1,human,robot,1,26,3|1
1241,10,Human,Robot,2,24,1|10
1242,9,human,robot,1,25,1|9
1244,4,human,robot,1,33,4|9
1247,9,human,robot,1,55,9|6
1248,7,human,robot,1,32,6|7
1249,8,human,robot,1,27,8|2
1250,6,human and robot,robot,1,33,4|6
1251,10,human and robot.,robot.,2,20,10|2
1252,5,human,robot,1,25,10|5
1253,7,human,robot,2,26,8|7
1255,9,human,robot,2,29,9|8
1256,5,human,robot,1,19,5|9
1257,5,HUMAN,ROBOT,2,29,4|5
1258,4,human,robot,1,22,8|4
1259,2,human,robot,1,44,2|3
1260,5,Human,Robot,2,30,5|2
1261,5,human,robot,1,31,2|5
1262,4,human,robot,1,29,4|1
1263,1,human,robot,2,24,6|1
1264,7,human,robot,2,41,2|7
1265,5,human,robot,2,23,9|5
1266,1,human,robot,1,23,1|7
1267,1,human,robot,2,41,1|10
1268,7,human,robot,1,26,7|10
1269,9,human,robot,1,29,9|1
1270,9,human,robot,1,20,7|9
1271,6,human,robot,1,56,6|2
1272,7,human,robot,1,24,10|7
1273,9,human,robot,1,42,9|3
1275,9,Human,Robot,1,33,3|9
1276,10,human,robot,1,26,10|4
1277,1,human,robot,1,30,1|8
1278,6,human and the robot.,robot,1,34,6|10
1279,10,Human,Robot,1,29,3|10
1280,7,human,robot,1,33,7|4
1281,5,human,robot,2,42,5|10
1282,6,human,robot,2,44,10|6
1283,1,human,robot,1,40,1|3
1284,1,human,robot,2,39,1|6
1285,10,human,robot,2,56,2|10
1288,7,human,robot ,1,35,7|3
1290,3,human,robot,2,26,3|6
1291,2,Human,Robot,1,26,9|2
1299,1,human,robot,1,21,1|2
1300,7,human,robot,2,32,7|5
1301,8,human,robot,2,21,8|1
1304,1,human,robot ,1,19,7|1
1306,4,human,smart robot,1,32,4|8
1307,3,human,smart robot,2,28,8|3
1309,4,human,robot,1,24,4|7
1312,2,human,"""smart"" robot",2,57,2|8
1314,2,human,robot,1,66,2|6
1315,7,human,robot,2,26,5|7
1317,1,human,robot,1,27,3|1
1318,5,Human,Robot,1,38,5|3
1320,4,human,robot,2,28,9|4
1321,5,human,robot,1,25,6|5
1323,8,human,robot,1,26,5|8
1324,4,human,robot,1,63,4|10
1325,1,human,smart robot,2,33,1|5
1326,4,"robot, human",robot,1,26,2|4
1327,5,human,robot,1,42,8|5
1328,6,human,robot,1,27,7|6
1330,4,human,robot,1,23,4|2
1331,7,human,robot,2,35,3|7
1332,7,human,robot,2,31,7|8
1333,10,human,smart robot,1,24,8|10
1334,3,human,robot,2,29,6|3
1335,1,human,robot,2,51,5|1
1336,3,human,robot,2,34,10|3
1337,9,human,robot,1,30,9|7
1338,3,human,robot,1,53,3|8
1339,2,human,robot,2,27,2|9
1340,2,human.,robot.,2,64,3|2
1341,2,human,robot,2,43,7|2
1342,6,human,robot,2,61,5|6
1343,4,human,robot,1,29,4|3
1344,9,human,robot,2,46,10|9
1346,7,human,robot,1,25,7|10
1347,6,human,robot,2,29,8|6
1348,1,human,smart robot,2,58,10|1
1349,9,human,robot,1,25,9|2
1350,1,human,robot,1,28,5|1
1351,5,human,robot,1,28,5|8
1355,5,human,robot,1,20,10|5
1356,1,human,smart computer,1,33,1|3
1357,10,human,robot,2,66,9|10
1358,6,human,robot,1,23,6|9
1359,9,human,robot,2,28,7|9
1360,4,human,robot,2,39,8|4
1361,3,human,robot,2,29,3|2
1362,6,Human,robot,2,40,5|6
1365,1,human,computer,1,57,1|8
1367,6,human,robot,1,29,6|1
1368,10,human,robot,2,55,10|3
1369,4,human,smart robot,1,59,4|8
1371,2,human,robot,1,37,5|2
1373,1,human,robot,2,22,1|9
1374,1,human,robot,2,29,8|1
1375,4,human,robot,2,27,4|7
1376,3,human,robot,1,20,3|8
1377,7,human,robot,1,21,7|8
1378,6,human,robot,1,23,1|6
1379,6,human,robot,2,56,10|6
1380,1,human,smart robot,1,30,1|4
1381,1,human,smart robot,1,30,1|5
1382,3,Human,Robot,1,25,5|3
1383,7,Robot or human,Robot,2,51,7|1
1384,4,human,robot,1,48,4|1
1385,4,human,robot,1,26,10|4
1386,5,human,robot,2,58,5|7
1387,4,human,robot,1,44,4|2
1388,5,human,robot,2,56,6|5
1389,2,human,smart robot,2,29,1|2
1390,7,human,robot,1,24,7|3
1391,2,human,robot ,2,21,2|1
1392,4,Robot and human.,A robot,1,37,4|9
1393,1,human,robot,1,41,3|1
1394,7,human,robot,2,22,7|2
1395,1,Human,Robot,1,23,1|10
1396,7,human,robot,2,44,7|5
1397,4,human,robot,2,59,6|4
1398,4,human,robot,2,53,9|4
1399,5,human,robot,1,54,5|10
1400,7,human,robot,1,33,9|7
1401,6,human,robot,2,21,6|2
1402,1,HUMAN,ROBOT,1,32,9|1
1403,2,human,robot,2,56,2|4
1404,2,Human,Robot,1,37,2|6
1406,7,human,robot,1,25,7|6
1407,10,human,robot,2,29,10|8
1408,7,human,smart robot,1,34,8|7
1409,7,human,robot,2,33,7|4
1411,10,human,robot,2,30,6|10
1412,3,human,robot,1,33,3|7
1413,8,human,robot,2,48,2|8
1414,4,human,robot,1,29,4|10
1415,9,human,robot,1,24,9|6
1416,10,human,robot,2,33,10|2
1417,9,Human,Smart Robot,2,34,8|9
1419,3,Human and robot,Robot,1,52,3|9
1420,3,Human,Robot,1,25,3|4
1421,9,human,robot,1,22,9|8
1422,7,human,robot,2,37,2|7
1424,8,human,robot,1,36,6|8
1425,9,Human,Robot,1,54,5|9
1426,7,human,robot,1,40,6|7
1427,2,human,robot,1,24,2|9
1429,8,human,robot,2,29,8|2
1430,5,human,robot,,45,8|5
1431,9,human,smart robot,2,20,9|3
1432,2,human,robot,1,57,2|5
1434,3,human,smart robot,1,31,6|3
1437,10,human,robot,1,36,8|10
1438,1,human,robot,2,51,1|5
1439,9,human,robot,2,29,9|1
1440,4,human,robot,2,45,4|8
1441,4,human,robot,2,21,7|4
1442,1,human,robot,1,35,1|3
1443,3,human,robot,1,31,2|3
1444,5,human,robot,2,34,10|5
1445,9,human,robot,2,66,7|9
1446,8,human,robot,1,27,8|7
1448,2,human,robot,2,32,8|2
1449,1,human,robot,1,29,4|1
1450,9,human,robot,2,47,9|5
1451,7,human,robot,2,28,9|7
1452,6,human,robot,1,21,2|6
1453,8,human,robot,1,33,8|3
1454,8,human,robot,2,33,5|8
1456,5,human,robot,2,25,5|6
1457,6,human,robot,2,43,6|8
1458,8,human,robot,1,58,9|8
1460,10,human,robot,1,29,10|8
1462,5,human,robot,2,25,5|4
1463,3,human,smart robot,1,28,3|2
1464,7,the human,robot,1,55,4|7
1465,3,human,robot,2,34,3|6
1466,4,human,robot,2,30,2|4
1468,6,human,robot,2,37,6|5
1469,6,human,robot,1,25,10|6
1470,4,human,robot,1,65,4|10
1471,3,human,robot,1,24,10|3
1472,1,human,robot,1,42,1|10
1473,5,Human,Robot,1,36,5|1
1474,5,Human,Robot,2,23,2|5
1476,7,Human,Robot,3,,10|7
1477,1,human,robot,2,26,1|4
1478,9,human,robot,1,31,8|9
1479,4,human,robot,1,33,4|9
1481,1,human,robot,2,26,1|7
1482,1,human,robot,1,27,7|1
1483,6,human,robot,2,66,9|6
1484,6,human,robot,2,27,6|9
1485,6,human,robot,2,59,6|7
1486,10,human,robot,1,37,10|1
1487,4,human,robot,2,49,8|4
1488,10,human,robot,2,30,6|10
1489,6,human,robot,2,42,4|6
1492,1,Human ,Robot,2,55,1|2
1493,7,human,robot,1,59,2|7
1494,10,human,robot,1,27,2|10
1495,6,human,robot,2,36,1|6
1496,4,human,robot,2,39,4|3
1497,6,human,robot,1,35,6|2
1498,8,human,robot,2,29,1|8
1499,7,human,robot,1,31,7|10
1500,6,human,robot,1,32,8|6
1502,7,human,robot,1,51,7|2
1503,10,human,robot,1,30,10|4
1504,5,human,robot,1,30,5|10
1505,9,human,robot,2,25,9|10
1506,8,human,robot,2,47,8|1
1507,4,human & robot,robot,1,27,3|4
1509,2,human,robot,2,31,5|2
1510,5,human,robot,1,23,4|5
1511,7,human,robot,1,37,7|6
1512,3,human,robot,2,43,3|1
1513,5,human,robot,1,31,5|3
1514,7,human,robot,1,22,7|5
1515,9,HUMAN,robot,1,28,1|9
1516,7,Human,Robot,2,42,5|7
1517,6,human,robot,1,30,6|1
1518,2,Human,Robot,1,30,4|2
1519,3,human,smart robot,1,32,6|3
1520,7,human,robot,2,27,8|7
1521,5,Human,Robot,2,46,5|10
1522,10,human,robot,1,33,10|8
1523,7,human,robot,1,25,7|10
1524,10,human,robot,1,22,10|3
1525,6,Human,Robot,1,50,6|9
1526,3,human,robot,1,29,3|10
1527,6,human,robot,1,28,3|6
1528,5,human,robot,1,33,5|6
1530,3,human,robot,2,21,3|2
1532,8,human,smart robot,1,20,2|8
1533,9,human,robot,1,24,4|9
1534,4,human,robot,2,32,4|5
1535,9,human,robot,2,25,2|9
1536,10,human,smart robot,2,49,9|10
1537,1,human,robot,1,32,1|7
1538,10,human,robot,1,37,8|10
1539,8,human,robot,2,23,8|5
1540,4,human,robot,1,28,10|4
1541,4,human and robot, robot,1,22,3|4
1543,4,human,robot,2,23,1|4
1546,7,human,robot,1,51,10|7
1547,1,human,robot,2,29,5|1
1549,2,Human,Robot,1,23,9|2
1550,5,human,robot,1,26,5|8
1551,1,human,robot,2,24,10|1
1552,9,human and robot,robot,1,24,8|9
1553,2,human,robot,2,27,2|3
1554,3,human,robot,3,20,1|3
1555,5,human,robot,1,49,2|5
1556,7,human,robot,2,36,7|4
1557,1,human,robot,1,30,4|1
1559,3,human,robot,1,37,3|1
1561,10,human,robot,1,46,2|10
1562,3,Human,Robot,2,25,9|3
1563,6,human,robot,2,24,7|6
1564,7,human,robot,1,27,7|2
1565,1,human,robot,2,25,1|8
1566,7,human,robot,2,51,7|5
1567,2,human,smart robot,1,66,2|6
1568,4,human,robot,1,19,4|8
1569,2,human,robot,1,32,8|2
1570,8,human,robot,2,60,7|8
1571,6,Human,Robot,1,27,6|2
1572,5,Human,Smart Robot,1,43,10|5
1573,3,human,robot,2,35,3|9
1574,6,human,robot,1,44,6|8
1576,7,human,robot,2,51,6|7
1577,7,human,robot,1,26,2|7
1578,6,human,robot,2,32,1|6
1580,1,human,smart robot,1,21,1|9
1581,6,human,robot,1,22,8|6
1582,4,human and robot,robot,2,45,2|4
1583,4,human,robot,1,28,4|7
1584,1,human,robot,1,23,2|1
1585,7,Human,Robot,1,38,7|3
1587,3,human,robot,2,30,8|3
1589,9,human,robot,1,32,9|4
1590,5,human,robot,1,25,5|3
1591,1,human,robot,2,26,8|1
1592,9,human,robot,1,24,1|9
1593,7,human,robot,2,40,5|7
1594,9,human,robot,1,59,9|6
1595,9,human,robot,1,24,9|8
1596,9,the human ,smart robot,2,19,9|6
1597,1,human,robot,2,52,10|1
1598,1,human,robot,1,22,8|1
1599,4,human,robot,2,24,8|4
1600,6,human,robot,1,23,4|6
1601,5,human,robot,2,36,6|5
1602,1,Human,Robot,2,58,1|2
1603,4,human,robot,2,20,4|3
1604,5,Human,Robot,1,32,8|5
1605,7,human,robot,2,62,10|7
1606,3,human,robot,1,36,3|8
1608,1,human,robot,2,31,6|1
1610,4,human,robot,1,32,6|4
1611,10,human,robot,2,26,2|10
1612,5,human,robot,1,33,9|5
1614,3,human,robot,1,22,3|10
1615,6,human,smart robot,2,31,6|10
1617,8,human,robot,2,28,6|8
1618,3,Human,robot,2,26,2|3
1619,9,human,robot,1,34,9|3
1621,5,human,robot,1,35,10|5
1622,3,human,smart robot,2,33,3|7
1623,4,the human and the robot ,a robot,1,31,4|8
1624,2,human,robot,2,32,6|2
1625,9,human,robot,2,34,6|9
1626,4,human,robot,1,24,4|10
1627,9,human,robot,2,30,9|2
1628,8,human,robot,1,41,8|6
1629,10,human,robot,2,39,10|3
1630,10,human,robot,2,23,1|10
1631,1,Human,Robot,1,28,1|8
1633,5,human,robot,2,29,5|2
1634,7,human,robot,2,27,7|3
1635,7,human,robot,1,27,8|7
1637,5,human,robot,2,20,5|4
1638,9,robot and human,robot,1,41,5|9
1643,5,human,robot,,42,5|1
1655,9,human,robot,1,34,9|1
1659,9,human,robot,1,23,8|9
1660,5,human,robot,1,31,5|8
1661,4,human,robot,1,26,3|4
1662,7,human,smart robot,1,34,7|6
1663,5,human,robot,1,32,5|10
1664,7,human,robot,1,41,9|7
1665,2,human,robot,1,24,2|1
1666,7,human,robot,1,22,7|10
1668,6,human,robot,1,23,5|6
1670,10,human,robot,1,34,8|10
1671,1,human,robot,2,20,3|1
1672,4,human,robot,2,19,7|4
1673,7,human,robot,1,26,2|7
1674,7,human,robot,2,36,7|8
1675,4,human,robot,2,26,4|2
1676,1,human,smart robot,1,29,7|1
1677,3,human,robot,1,26,8|3
1678,9,human,robot,2,27,9|4
1679,4,human,robot,2,30,6|4
1681,9,human,robot,1,22,2|9
1682,10,human,robot,1,27,10|2
1683,10,human,robot,1,48,10|8
1684,7,human,robot,1,31,7|9
1685,5,human,robot,2,28,5|3
1686,2,human,robot,1,25,2|5
1687,2,human,robot,1,32,3|2
1688,7,human.,robot.,1,21,7|2
1689,9,human,robot,2,37,9|10
1690,6,human,robot,2,23,2|6
1691,4,Human,robot,1,37,2|4
1692,1,human,robot,2,27,1|6
1694,1,human,robot,1,22,1|3
1695,5,human,robot,1,19,2|5
1696,1,human,robot,2,27,7|1
1697,4,human,smart robot,1,30,2|4
1698,7,human,robot,1,25,7|8
1699,5,human,robot,1,29,6|5
1700,1,human,robot,1,27,1|6
1701,7,Human,Robot,2,25,3|7
1702,9,human,robot,1,41,3|9
1703,2,human,robot,1,46,2|7
1704,7,human.,smart robot.,1,66,7|2
1705,5,human,computer,1,23,5|8
1706,6,human,robot,1,35,5|6
1707,4,human,robot,2,53,4|2
1708,10,human,robot,1,20,10|7
1709,9,human,robot,2,26,9|6
1710,9,human,robot,2,26,5|9
1711,10,human,robot,1,27,10|1
1713,9,human,smart robot,2,61,8|9
1715,7,human,robot,1,23,7|3
1716,2,human,robot,1,21,9|2
1718,9,human,robot,1,24,10|9
1719,4,Human,robot,2,35,4|8
1721,2,human,robot,1,27,1|2
1722,6,human,robot,1,37,6|10
1723,5,human,robot,1,24,5|10
1725,10,human,robot,1,36,2|10
1726,8,human,small robot,1,29,8|1
1727,4,human,robot,1,21,4|3
1728,1,human,robot,1,23,1|5
1729,4,human,robot,2,37,10|4
1730,4,human,robot,2,42,4|10
1731,5,human,robot,1,21,9|5
1732,7,human,robot,2,21,4|7
1733,10,human,robot,1,30,10|6
1734,4,Human,Robot,1,32,8|4
1735,10,human,smart robot. ,2,27,8|10
1736,3,human,robot,1,42,2|3
1737,7,human,robot,1,23,8|7
1738,5,human,robot,1,44,5|7
1739,2,human,robot,2,23,2|6
1740,9,human,robot,1,28,9|1
1741,1,HUMAN,ROBOT,1,65,1|3
1742,4,human,robot,2,35,6|4
1743,4,robot and human,robot,2,59,3|4
1744,3,human,robot,2,28,3|2
1745,9,Human,Smart Robot,2,23,9|3
1747,4,human,robot,1,35,1|4
1748,5,human,robot,1,27,5|2
1749,9,human,robot,2,30,9|10
1750,7,human,robot,2,47,9|7
1751,7,human,robot,1,44,7|4
1752,1,human,robot,1,28,1|9
1753,9,human,robot,2,26,4|9
1754,4,human,robot,1,45,4|6
1755,8,human,robot,2,36,8|2
1756,2,human,robot,1,22,10|2
1757,5,human,robot,1,23,5|3
1758,1,human,robot,1,27,2|1
1759,5,human,smart robot,1,37,5|1
1760,1,human,robot,1,28,1|7
1763,3,human,robot,2,25,6|3
1764,4,human,robot,2,56,4|5
1765,7,human,robot,1,24,7|10
1766,6,human,robot,1,26,8|6
1768,7,Human,robot,1,58,7|9
1769,10,human,robot,2,30,3|10
1771,10,human,robot,1,36,10|8
1772,1,human,robot,1,20,1|8
1774,5,Human,Robot,2,37,7|5
1775,1,human,robot,1,33,4|1
1776,3,human,robot,1,53,3|6
1777,8,human,robot,2,22,6|8
1778,5,human,robot,2,35,8|5
1779,2,human,robot,1,20,2|9
1780,3,human,robot,1,23,3|8
1781,6,human,robot,1,63,6|9
1782,6,human,robot,1,20,6|2
1783,6,human,robot,1,28,6|7
1784,1,human,robot,1,28,6|1
1785,8,human,robot,2,25,8|6
1786,2,human.,robot.,2,28,8|2
1787,6,human,computer,1,43,6|1
1788,5,human,robot,1,44,5|8
1789,9,human,robot,1,25,3|9
1790,3,human,robot,2,26,2|3
1791,10,human and the robot,robot,1,31,10|1
1792,5,human,robot,1,26,4|5
1793,4,Human,Smart robot,1,22,8|4
1794,7,human,smart robot,2,58,5|7
1795,3,human,robot,2,37,3|2
1796,9,human,robot,1,30,9|3
1797,6,human,robot,2,27,6|5
1799,1,Human,Robot,2,36,1|6
1800,10,Human,Robot,1,28,10|3
1802,10,human,robot,2,38,10|2
1803,7,human,robot,2,29,7|10
1804,1,human,robot,2,36,3|1
1807,10,human,robot,1,36,10|8
1808,6,human,robot,1,34,6|4
1809,4,human,robot,2,24,4|3
1812,7,human,robot,2,47,9|7
1813,8,HUMAN,ROBOT,2,56,6|8
1816,1,human,robot,1,26,4|1
1817,3,human,robot,1,23,3|8
1819,1,Human,Smart robot,1,31,1|2
1820,4,human,robot,2,40,4|10
1821,8,human,robot,1,29,2|8
1822,9,human,smart robot,1,60,9|5
1823,2,human.,robot.,1,30,2|4
1824,1,human,robot,1,27,1|5
1825,3,human,robot,1,55,3|10
1827,5,human,smart robot,1,29,7|5
1828,3,human,robot,2,43,3|6
1829,2,human,robot,2,30,9|2
1830,3,human,robot,1,26,1|3
1831,2,human,robot,1,32,4|2
1832,9,human,robot,1,19,9|8
1833,4,human,robot,1,20,10|4
1834,5,human,robot,1,28,5|6
1835,9,human,robot,1,33,10|9
1836,7,human,robot ,2,31,6|7
1837,1,Human,Robot,1,21,1|10
1838,4,human,robot,1,41,5|4
1839,7,Human,Robot,1,23,3|7
1841,6,human,robot,2,56,10|6
1842,2,human,robot,1,21,5|2
1843,9,human,robot,1,43,8|9
1844,7,human,robot,1,21,8|7
1846,7,human,robot,2,71,10|7
1847,7,human,robot,1,23,7|9
1848,9,human,robot,3,24,9|6
1849,9,human,robot,1,55,1|9
1850,3,human,robot,1,28,5|3
1851,1,human,smart robot,2,19,1|7
1852,5,human,smart robot,2,34,5|1
1853,9,human,robot,2,59,9|10
1857,1,human,robot,2,33,1|8
1859,2,human,very real like robot,2,29,2|6
1860,4,human,robot,2,48,4|7
1861,9,human,robot,1,33,6|9
1862,4,human,robot,2,33,3|4
1863,7,human,robot,2,27,7|2
1864,8,human,smart robot,1,28,8|5
1865,6,human,robot,2,37,6|2
1866,5,human,robot,2,32,5|9
1868,1,human,robot,2,22,1|4
1869,4,human or the robot,smart robot,1,43,4|9
1870,4,human,robot,1,30,4|8
1871,6,human,robot,1,25,7|6
1872,4,robot and human.,robot.,2,54,4|6
1873,1,human,smart robot,1,31,8|1
1875,1,human,robot,1,44,2|1
1876,3,human,robot,2,63,6|3
1877,1,human,smart robot,2,36,7|1
1878,7,human,robot,2,24,7|3
1879,9,human,robot,2,37,9|8
1880,5,human,robot,2,34,9|5
1881,6,human,robot,1,37,2|6
1882,1,human,robot,2,37,1|9
1883,7,human,robot,1,33,3|7
1884,7,human,robot,1,26,7|6
1886,5,human,robot,1,37,5|4
1887,1,human,robot,1,25,1|3
1888,4,human,robot,2,35,3|4
1889,8,human,robot,2,20,4|8
1890,7,human,robot,1,32,7|8
1891,5,human,robot,2,38,5|10
1892,7,human,robot,1,19,7|10
1893,10,human,robot,2,22,9|10
1894,1,human,robot,2,25,9|1
1895,2,human,robot,2,25,3|2
1896,1,human,robot,1,39,1|8
1897,10,human,smart robot,1,24,10|8
1898,6,human,robot,2,43,6|10
1904,6,human,smart robot,1,30,6|8
1905,3,human,robot,2,59,2|3
1906,5,human,robot,2,26,6|5
1908,4,Human,robot,1,24,4|2
1909,3,human,robot,1,44,3|6
1910,9,human,smart robot,1,31,6|9
1911,5,human,robot,2,47,10|5
1913,6,human,robot,1,32,8|6
1914,1,human,robot,2,32,1|6
1915,2,human,robot,2,44,10|2
1918,7,human,robot,2,41,7|9
1919,3,human,robot,2,72,3|8
1920,3,human,robot,1,26,10|3
1922,7,human,robot,3,36,1|7
1923,6,Human,Robot,1,25,6|2
1925,10,Human,Robot,2,29,10|4
1927,2,human,robot,1,25,5|2
1928,5,human,robot,1,53,5|3
1929,4,human,robot,1,32,4|10
1931,6,human,robot,2,27,10|6
1932,5,human,robot,1,33,8|5
1933,3,Human,Robot,1,28,3|10
1934,2,human,robot,2,40,2|7
